"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.003048240E-1,-1.520670578E-2,-3.737092018E-3,1.702919006E-1,1.710103540E-1
1.173090160E-1,2.801904082E-2,1.614420116E-2,-8.693218231E-2,9.275185282E-2
1.342964840E-1,-5.848228931E-3,-3.526717424E-3,2.732372284E-2,2.816425655E-2
1.512862100E-1,8.740805089E-3,1.090064645E-2,-6.175041199E-3,1.527602371E-2
1.682893330E-1,8.857656270E-3,1.132383943E-3,-4.445838928E-2,4.534632009E-2
1.852829460E-1,-1.059979573E-2,-3.582462668E-3,4.168319702E-2,4.315876067E-2
2.022778900E-1,-4.016831517E-4,5.951121449E-3,-2.052974701E-2,2.137867414E-2
2.192744620E-1,9.044136852E-3,5.855813622E-3,-3.967094421E-2,4.110803789E-2
2.362704660E-1,-8.431486785E-4,5.976945162E-3,2.732658386E-2,2.798529898E-2
2.532635890E-1,8.702792227E-3,1.086999476E-2,3.396034241E-3,1.433277458E-2
2.702658680E-1,9.125366807E-3,1.097829640E-2,-1.096439362E-2,1.800036773E-2
2.872463480E-1,-5.800776184E-3,6.250157952E-3,8.177757263E-3,1.181478703E-2
3.042517190E-1,9.079154581E-3,1.521825790E-3,-6.180763245E-3,1.108822961E-2
3.212528070E-1,4.167821258E-3,1.109907031E-2,-1.096725464E-2,1.615056563E-2
3.382338770E-1,-5.920469761E-3,1.115618646E-2,3.389358521E-3,1.307670485E-2
3.552433590E-1,3.729999065E-3,1.121315360E-2,3.388404846E-3,1.229345330E-2
3.722383230E-1,9.142499417E-3,1.547172666E-3,-6.180763245E-3,1.114364721E-2
3.892367570E-1,-5.732525140E-3,6.390064955E-3,3.390312195E-3,9.229788263E-3
4.062317230E-1,3.865770996E-3,1.113013923E-2,8.175849915E-3,1.434115430E-2
4.232330550E-1,8.678790182E-3,1.108476520E-2,-6.178855896E-3,1.537438385E-2
4.401980720E-1,9.303260595E-3,1.570880413E-3,-6.180763245E-3,1.127919134E-2
4.572105340E-1,-8.885636926E-4,1.475796103E-3,3.393173218E-3,3.805409841E-3
4.742093950E-1,-7.581450045E-4,6.216973066E-3,-6.175994873E-3,8.795933755E-3
4.912138720E-1,-6.794147193E-4,6.273716688E-3,-1.096439362E-2,1.265065424E-2
5.081898850E-1,8.969690651E-3,6.330609322E-3,-1.392364502E-3,1.106664555E-2
5.251945340E-1,1.383259147E-2,6.336733699E-3,-6.177902222E-3,1.642136586E-2
5.421871390E-1,4.938129336E-3,6.444349885E-3,-1.575279236E-2,1.772188573E-2
5.591836400E-1,-4.170574248E-4,1.123501360E-2,-1.394271851E-3,1.132887733E-2
5.761957060E-1,4.447150975E-3,6.404250860E-3,-1.392364502E-3,7.920243670E-3
5.931862870E-1,1.404420659E-2,1.124563813E-2,-1.394271851E-3,1.804572275E-2
6.101878730E-1,5.097720772E-3,1.680806279E-3,-6.178855896E-3,8.184749660E-3
6.271809370E-1,5.074050277E-3,1.585513353E-3,-1.392364502E-3,5.495317800E-3
6.441761870E-1,4.349537194E-3,1.111051440E-2,3.393173218E-3,1.240466157E-2
6.611706320E-1,8.847936988E-5,1.545712352E-3,-6.177902222E-3,6.368950552E-3
6.781710290E-1,4.251487553E-3,1.501128078E-3,8.179664612E-3,9.339991707E-3
6.951370540E-1,4.279151559E-3,6.190896034E-3,3.396034241E-3,8.256596171E-3
7.121603800E-1,4.355587065E-3,6.246984005E-3,3.395080566E-3,8.338016544E-3
7.291761160E-1,4.382088780E-3,1.416981220E-3,3.396034241E-3,5.722201187E-3
7.461678170E-1,5.004338920E-3,6.054475904E-3,-6.171226501E-3,9.989200320E-3
7.631504940E-1,1.400225237E-2,5.907341838E-3,-1.382827759E-3,1.526014324E-2
7.801460690E-1,5.057439208E-3,1.230359077E-3,-1.095676422E-2,1.213021669E-2
7.971292550E-1,4.435654730E-3,1.080574095E-2,-6.170272827E-3,1.321027393E-2
8.141352260E-1,9.247366339E-3,6.025493145E-3,8.186340332E-3,1.374178008E-2
8.311375040E-1,-2.451799810E-4,1.081475616E-2,8.186340332E-3,1.356595857E-2
8.481304150E-1,4.466034472E-3,1.086944342E-2,-6.171226501E-3,1.327306674E-2
8.651266320E-1,4.543080926E-3,1.087281108E-2,-1.385688782E-3,1.186497950E-2
8.821096840E-1,5.219098181E-3,1.308083534E-3,-6.171226501E-3,8.187435794E-3
8.991364590E-1,9.432222694E-3,1.365691423E-3,-1.386642456E-3,9.630924946E-3
9.161151070E-1,4.723247141E-3,6.206974387E-3,-1.387596130E-3,7.922185154E-3
9.331080070E-1,9.533103555E-3,1.099570096E-2,3.397941589E-3,1.494428017E-2
9.500975600E-1,1.434252411E-2,6.215050817E-3,-6.173133850E-3,1.680602380E-2
9.671002670E-1,-3.781169653E-5,1.100373268E-2,-6.173133850E-3,1.261709730E-2
9.840863110E-1,9.506646544E-3,1.438707113E-3,3.397941589E-3,1.019765727E-2
1.001082659E0,4.747897387E-3,6.280034781E-3,-1.389503479E-3,7.994503509E-3
1.018078416E0,5.270034075E-3,1.500591636E-3,-1.096153259E-2,1.225480441E-2
1.035074491E0,4.748456180E-3,1.456141472E-3,3.397941589E-3,6.017822789E-3
1.052070626E0,5.363672972E-4,1.360371709E-3,-6.171226501E-3,6.342108293E-3
1.069056446E0,4.801254719E-3,1.103645563E-2,-1.387596130E-3,1.211531357E-2
1.086076141E0,4.828013480E-3,6.204754114E-3,-6.172180176E-3,9.995223654E-3
1.103072001E0,-4.763677716E-3,6.209313869E-3,-1.387596130E-3,7.948183889E-3
1.120038848E0,-1.467764378E-6,1.099739969E-2,-1.387596130E-3,1.108459404E-2
1.137064129E0,9.492393583E-3,6.267294288E-3,-6.174087524E-3,1.294232863E-2
1.154063375E0,5.975328386E-4,6.322339177E-3,-1.096153259E-2,1.266823646E-2
1.171044038E0,-2.291053534E-5,6.275787950E-3,-6.174087524E-3,8.803714900E-3
1.188052634E0,9.520817548E-3,-3.287106752E-3,8.181571960E-3,1.297648478E-2
1.205049064E0,7.992610335E-5,6.237566471E-3,-1.387596130E-3,6.390543536E-3
1.222018689E0,4.891812801E-3,6.140351295E-3,-6.171226501E-3,9.985879183E-3
1.239041313E0,9.649418294E-3,6.144449115E-3,3.399848938E-3,1.193417367E-2
1.256038954E0,-4.726633430E-3,6.098017097E-3,-6.170272827E-3,9.879227847E-3
1.273030633E0,5.417875946E-3,6.153076887E-3,-6.171226501E-3,1.026147024E-2
1.290045892E0,6.085783243E-4,6.156831980E-3,-6.171226501E-3,8.738477221E-3
1.307025049E0,8.759275079E-5,1.427963376E-3,-1.387596130E-3,1.993031589E-3
1.324021947E0,5.001127720E-3,1.434475183E-3,-1.386642456E-3,5.384401065E-3
1.341004674E0,1.432225108E-4,1.100769639E-2,-6.173133850E-3,1.262131031E-2
1.358010849E0,5.005925894E-3,6.175026298E-3,-6.171226501E-3,1.006351233E-2
1.375013068E0,9.864907712E-3,6.127819419E-3,-6.169319153E-3,1.315017391E-2
1.392005815E0,5.154207349E-3,6.131291389E-3,3.400802612E-3,8.701956441E-3
1.409002703E0,5.826797336E-3,1.351371408E-3,-6.169319153E-3,8.592919800E-3
1.425997597E0,4.723407328E-4,-3.526851535E-3,3.403663635E-3,4.924095212E-3
1.442994596E0,5.880635232E-3,1.112252474E-3,-1.095104218E-2,1.247975565E-2
1.459986326E0,5.306143314E-3,5.748659372E-3,-1.375198364E-3,7.943136156E-3
1.476971861E0,5.382455885E-3,5.803450942E-3,-1.375198364E-3,8.033806367E-3
1.493971709E0,5.408067256E-3,5.807250738E-3,-1.376152039E-3,8.053890179E-3
1.510965769E0,1.350410283E-3,5.810797215E-3,-1.094722748E-2,1.246718740E-2
1.527961496E0,5.461670458E-3,1.059737802E-2,-6.160736084E-3,1.341972183E-2
1.544947897E0,6.522685289E-4,5.764305592E-3,-6.159782410E-3,8.461417879E-3
1.561955557E0,1.094487682E-2,5.716755986E-3,-1.572990417E-2,1.999753767E-2
1.578965353E0,6.184209138E-3,9.885132313E-4,-6.159782410E-3,8.784333806E-3
1.595946607E0,1.044386253E-2,5.777359009E-3,-6.159782410E-3,1.343112285E-2
1.612959444E0,9.004287422E-4,9.983479977E-4,8.196830750E-3,8.306353290E-3
1.629947411E0,5.711045116E-3,9.541213512E-4,3.412246704E-3,6.720849012E-3
1.646964684E0,8.516050875E-4,1.535940170E-2,-6.159782410E-3,1.657043666E-2
1.663943434E0,1.522875950E-2,1.060023904E-3,-1.375198364E-3,1.532742434E-2
1.680940453E0,8.998326957E-4,1.058080792E-2,-6.159782410E-3,1.227624187E-2
