"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.497131300E-2,-4.782400131E0,2.070339966E1,-4.543280029E1,5.015617062E1
2.495792600E-2,-4.904399872E0,2.105719948E1,-4.587199783E1,5.071192141E1
3.496907600E-2,-4.977600098E0,2.108160019E1,-4.457880020E1,4.956288729E1
4.499422200E-2,-5.538799763E0,2.087419891E1,-4.553039932E1,5.039273505E1
5.498160900E-2,-4.806799889E0,2.127680016E1,-4.501799774E1,5.002427082E1
6.498099900E-2,-5.245999813E0,2.069120026E1,-4.532299805E1,5.009810809E1
7.497245400E-2,-4.989799976E0,2.116699982E1,-4.522539902E1,5.018243419E1
8.498295200E-2,-4.892199993E0,2.109379959E1,-4.576219940E1,5.062668166E1
9.498270800E-2,-5.026400089E0,2.167939949E1,-4.609159851E1,5.118297093E1
1.049821800E-1,-5.258199692E0,2.099619865E1,-4.554259872E1,5.042437229E1
1.149822610E-1,-4.892199993E0,2.116699982E1,-4.533519745E1,5.027181745E1
1.249823840E-1,-5.087399960E0,2.130119896E1,-4.607939911E1,5.101895469E1
1.349823430E-1,-4.892199993E0,2.110599899E1,-4.544499969E1,5.034525610E1
1.449826690E-1,-4.635999680E0,2.149639893E1,-4.534740067E1,5.039815877E1
1.549825060E-1,-4.989799976E0,2.111820030E1,-4.596960068E1,5.083385362E1
1.649822630E-1,-4.391999722E0,2.055699921E1,-4.500579834E1,4.967294799E1
1.749556510E-1,-4.794600010E0,2.103279877E1,-4.501799774E1,4.991980503E1
1.849823440E-1,-4.928800106E0,2.171599960E1,-4.598180008E1,5.109015216E1
1.949821410E-1,-5.355799675E0,2.102059937E1,-4.532299805E1,5.024663511E1
2.049822640E-1,-4.733600140E0,2.153299904E1,-4.673819733E1,5.167723007E1
2.149829150E-1,-4.721399784E0,2.153299904E1,-4.501799774E1,5.012565994E1
2.249692430E-1,-5.270400047E0,2.114259911E1,-4.532299805E1,5.028877375E1
2.349696100E-1,-5.465600014E0,2.120359993E1,-4.543280029E1,5.043416279E1
2.449818580E-1,-5.062999725E0,2.084980011E1,-4.521319962E1,5.004579453E1
2.549697320E-1,-4.794600010E0,2.114259911E1,-4.544499969E1,5.035122326E1
2.649823060E-1,-5.160599709E0,2.093519974E1,-4.500579834E1,4.990427098E1
2.749757550E-1,-5.001999855E0,2.142319870E1,-4.566460037E1,5.068756428E1
2.849718080E-1,-4.916599751E0,2.164279938E1,-4.620140076E1,5.125576211E1
2.949716050E-1,-5.355799675E0,2.102059937E1,-4.575000000E1,5.063213098E1
3.049945950E-1,-4.916599751E0,2.152079964E1,-4.566460037E1,5.072054315E1
3.149825100E-1,-4.916599751E0,2.152079964E1,-4.566460037E1,5.072054315E1
3.249685540E-1,-5.245999813E0,2.084980011E1,-4.521319962E1,5.006463920E1
3.349828770E-1,-5.075200081E0,2.109379959E1,-4.565240097E1,5.054550179E1
3.449816570E-1,-5.099599838E0,2.132559967E1,-4.587199783E1,5.084316380E1
3.549819420E-1,-4.770199776E0,2.069120026E1,-4.500579834E1,4.976346509E1
3.649821050E-1,-5.099599838E0,2.148419952E1,-4.490819931E1,5.004321246E1
3.749823900E-1,-5.306999683E0,2.181359863E1,-4.490819931E1,5.020700844E1
3.849823090E-1,-5.184999943E0,2.138660049E1,-4.576219940E1,5.077843833E1
