"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.849712700E-2,7.744483948E-1,-3.987789154E-3,1.267951012E0,1.485761080E0
1.054965480E-1,8.671641350E-2,-1.182441711E-1,3.218860626E-1,3.537118286E-1
1.224751760E-1,-1.685440540E-1,-1.630537510E-1,-5.471496582E-1,5.952867984E-1
1.394814740E-1,-8.111155033E-2,-1.225450039E-1,-7.663059235E-1,7.802699084E-1
1.564749950E-1,3.023386002E-3,-5.953979492E-2,-6.746196747E-1,6.772487235E-1
1.734688200E-1,-1.410368681E-1,8.282351494E-2,-6.473722458E-1,6.677139787E-1
1.904632040E-1,-3.601634502E-1,6.469154358E-2,-7.836236954E-1,8.648518964E-1
2.074564500E-1,-6.479579210E-1,6.873250008E-2,-8.513031006E-1,1.072049716E0
2.244504600E-1,-7.026261687E-1,1.703777313E-1,-9.002895355E-1,1.154657244E0
2.414364120E-1,-5.158814192E-1,2.295374870E-1,-8.858652115E-1,1.050513336E0
2.584304200E-1,-2.770946026E-1,2.432527542E-1,-7.370996475E-1,8.241779004E-1
2.754349170E-1,-9.856224060E-2,2.868063450E-1,-4.119253159E-1,5.115221018E-1
2.924267700E-1,-4.508316517E-2,3.147590160E-1,-1.939706802E-1,3.724652397E-1
3.094114900E-1,2.391883135E-1,3.126487732E-1,1.305866241E-1,4.147447059E-1
3.264219800E-1,5.849844217E-1,3.121409416E-1,4.771690369E-1,8.169020938E-1
3.434078900E-1,7.300342321E-1,1.832597256E-1,8.020677567E-1,1.099930358E0
3.604016850E-1,7.942656279E-1,-4.677915573E-2,1.307624817E0,1.530662876E0
3.773920210E-1,6.869993210E-1,-2.014822960E-1,1.739694595E0,1.881249709E0
3.943934370E-1,2.742269039E-1,-9.790205956E-2,1.390443802E0,1.420605214E0
4.113840370E-1,1.501771212E-1,8.105754852E-3,3.408079147E-1,3.725169872E-1
4.283850140E-1,2.344272137E-1,-8.261203766E-3,-3.787574768E-1,4.455127296E-1
4.453677630E-1,3.790369034E-1,7.193732262E-2,-4.498424530E-1,5.926231391E-1
4.623594420E-1,9.618766308E-1,-2.589015961E-1,1.933403015E-1,1.014700528E0
4.793303890E-1,1.324157834E0,-6.434829235E-1,1.270561218E0,1.944682507E0
4.963497080E-1,1.085380197E0,-8.723974228E-1,1.578500748E0,2.104944666E0
5.133496470E-1,3.801622391E-1,-7.957875729E-1,1.056823730E0,1.376472879E0
5.303278980E-1,-3.446723223E-1,-6.823949814E-1,1.042976379E-1,7.715827354E-1
5.473311940E-1,-4.770065546E-1,-4.772558212E-1,-3.744697571E-1,7.717097712E-1
5.643314810E-1,-2.367829680E-1,-2.294745445E-1,-6.764497757E-1,7.525350753E-1
5.813043500E-1,9.633064270E-3,-1.377623081E-1,-1.152634621E0,1.160878038E0
5.982929470E-1,1.731265783E-1,-1.280686855E-1,-1.463525295E0,1.479283844E0
6.152987870E-1,4.178235531E-1,-1.525347233E-1,-1.427980900E0,1.495651301E0
6.322905270E-1,6.165516376E-1,-8.904409409E-2,-1.218238831E0,1.368272861E0
6.492724200E-1,5.812404752E-1,-3.780961037E-2,-9.408760071E-1,1.106579287E0
6.662692780E-1,3.423766494E-1,4.037714005E-2,-7.720718384E-1,8.455453903E-1
6.832650260E-1,-9.874618053E-2,1.753969193E-1,-6.798343658E-1,7.090061018E-1
7.002536740E-1,-3.957319260E-1,3.541967869E-1,-6.694593430E-1,8.545378476E-1
7.172504900E-1,-5.722634196E-1,5.233595371E-1,-6.909370422E-1,1.038645571E0
7.342448650E-1,-4.929080307E-1,6.376695633E-1,-8.116703033E-1,1.143848539E0
