"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.057077570E-1,1.493060589E-1,-2.481198311E-2,3.384208679E-2,1.550910074E-1
1.226984000E-1,-6.769454479E-2,-5.553925037E-2,5.394744873E-2,1.028469103E-1
1.396977580E-1,-2.338648438E-1,-8.992677927E-2,6.704044342E-2,2.593723421E-1
1.566727750E-1,-1.999313235E-1,-4.258239269E-2,8.481979370E-3,2.045916378E-1
1.736796530E-1,-9.743511677E-2,-4.907166958E-2,-3.370094299E-2,1.141813658E-1
1.906814030E-1,-7.916098833E-2,-8.181560040E-2,-2.535476685E-1,2.779328601E-1
2.076726340E-1,-7.428878546E-2,-1.220154166E-1,-4.216032028E-1,4.451469939E-1
2.246533270E-1,-1.597377062E-1,-1.563185453E-1,-2.472772598E-1,3.333131645E-1
2.416646400E-1,-2.720141411E-1,-2.722626328E-1,-3.026199341E-2,3.860497668E-1
2.586513640E-1,-3.787624836E-1,-3.318122029E-1,7.301330566E-2,5.088136199E-1
2.756443350E-1,-4.343214333E-1,-3.001533747E-1,5.232715607E-2,5.305330216E-1
2.926349170E-1,-4.171121716E-1,-2.006996870E-1,4.595279694E-2,4.651608191E-1
3.096187840E-1,-2.946409285E-1,-7.172614336E-2,-2.596569061E-2,3.043552751E-1
3.266096690E-1,-9.358739853E-2,4.197263718E-2,-1.743326187E-1,2.022675589E-1
3.436091810E-1,7.177162170E-2,8.776807785E-2,-2.569417953E-1,2.808442404E-1
3.606002200E-1,6.066197157E-2,1.112694740E-1,-1.354484558E-1,1.854913875E-1
3.775935880E-1,2.123224735E-2,1.472750306E-1,-3.714466095E-2,1.533638445E-1
3.946037900E-1,-1.210075617E-2,2.155991793E-1,-2.338752747E-1,3.183191457E-1
4.115941590E-1,-3.292322159E-3,2.925601602E-1,-5.258665085E-1,6.017789224E-1
4.285882180E-1,-9.630322456E-3,3.571980000E-1,-7.710332870E-1,8.498090868E-1
4.455816460E-1,-2.158284187E-3,3.655697107E-1,-1.007218361E0,1.071510475E0
4.625724010E-1,8.913379908E-2,2.986673117E-1,-1.166487694E0,1.207410675E0
4.795723000E-1,1.100837588E-1,1.234965920E-1,-1.218666077E0,1.229844238E0
4.965628690E-1,2.267634869E-2,8.022773266E-2,-9.466705322E-1,9.503345740E-1
5.135570420E-1,-6.784921885E-2,-6.188023090E-2,-5.265960693E-1,5.345428886E-1
5.305477650E-1,-1.561792493E-1,-1.304795742E-1,-1.579952240E-1,2.576419376E-1
5.475469920E-1,-1.931329370E-1,-1.697919369E-1,-1.701450348E-2,2.577190845E-1
5.645243890E-1,-3.219284415E-1,-2.814984322E-1,-1.044082642E-2,4.277713170E-1
5.815275840E-1,-5.511828661E-1,-3.048512340E-1,1.188583374E-1,6.409868416E-1
5.985297910E-1,-5.831812620E-1,-3.290090561E-1,2.270126343E-1,7.070233939E-1
6.155185400E-1,-3.663391471E-1,-3.492456377E-1,3.330411911E-1,6.058822667E-1
6.325135870E-1,-2.925975323E-1,-4.426785111E-1,7.761468887E-1,9.402029425E-1
6.494935470E-1,-4.773307741E-1,-4.202214777E-1,1.380786896E0,1.520198411E0
6.664975760E-1,-5.308685303E-1,-4.415228367E-1,1.520083427E0,1.669556060E0
6.834967230E-1,-5.184881687E-1,-3.859552741E-1,1.326404572E0,1.475513654E0
7.004874150E-1,-5.177156925E-1,-3.404781818E-1,1.166151047E0,1.320554124E0
7.174814140E-1,-4.830683172E-1,-2.895907164E-1,1.101100922E0,1.236786571E0
7.344753210E-1,-4.368339181E-1,-2.318536192E-1,1.217790604E0,1.314379674E0
7.514550980E-1,-5.071088076E-1,-2.139678746E-1,1.528010368E0,1.624117385E0
7.684624630E-1,-5.504929423E-1,-2.401123047E-1,1.685818672E0,1.789603586E0
7.854513450E-1,-6.159571409E-1,-2.243715674E-1,1.580668449E0,1.711215517E0
8.024368190E-1,-5.758427382E-1,-2.218265533E-1,1.309501648E0,1.447617506E0
8.194276750E-1,-4.656870365E-1,-1.880634278E-1,1.207205772E0,1.307508335E0
