"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.504032670E1,2.549857610E1,2.182558923E1,NaN,NaN,2.693600082E1,1.579702616E0
3.409362185E0,6.504011800E1,2.549862501E1,-1.743028283E0,NaN,NaN,4.124894142E0,1.122449589E1
4.484617149E0,6.504015755E1,2.549876139E1,2.150914340E1,0.000000000E0,NaN,5.197502136E0,1.907357597E1
5.495923018E0,6.504016936E1,2.549878430E1,2.340659261E1,1.412701368E0,3.050887299E1,1.269767189E1,2.241938019E1
6.534045658E0,6.504017275E1,2.549881312E1,2.179496392E1,0.000000000E0,NaN,8.340998650E0,2.860353279E1
7.544661991E0,6.504021036E1,2.549883242E1,2.692685617E1,1.331799030E0,3.682141495E1,5.183840752E0,9.739556313E0
8.543262619E0,6.504022008E1,2.549885566E1,2.751681401E1,1.095224619E0,2.349403000E1,3.864271164E0,7.036942005E0
9.302341598E0,6.504022896E1,2.549886954E1,2.743399091E1,1.011522293E0,1.580286026E1,2.957736492E0,5.440813065E0
1.030133269E1,6.504024539E1,2.549887125E1,2.766716241E1,1.137492657E0,3.540352478E2,2.648697376E0,4.529720306E0
1.131453691E1,6.504026132E1,2.549886220E1,2.653042445E1,1.229303360E0,3.262865295E2,2.409472227E0,3.747828484E0
1.224902281E1,6.504027407E1,2.549883656E1,2.533479342E1,1.423892617E0,3.296183777E2,2.251677752E0,3.163155794E0
1.324907881E1,6.504028573E1,2.549882186E1,2.418821186E1,1.344025731E0,3.240223694E2,2.284222126E0,3.000000000E0
1.424903181E1,6.504029559E1,2.549880855E1,2.360464322E1,1.314931631E0,3.281298828E2,2.273749352E0,3.000000000E0
1.524905381E1,6.504030547E1,2.549879425E1,2.279553282E1,1.378013968E0,3.163955383E2,2.336287498E0,3.000000000E0
1.624906581E1,6.504031700E1,2.549876745E1,2.219699288E1,1.224680901E0,3.087046814E2,2.325648069E0,3.000000000E0
1.724906581E1,6.504032641E1,2.549874222E1,2.154785217E1,1.351753116E0,3.019992981E2,2.208602905E0,3.000000000E0
1.824911181E1,6.504033518E1,2.549870491E1,2.134877117E1,1.443933606E0,2.865341492E2,2.152786970E0,3.000000000E0
