"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.554162000E-2,6.502983880E1,2.547266420E1,NaN,NaN,NaN,NaN,1.615177092E-1,1.100000000E3,0.000000000E0,-1.000000000E0
2.998125043E0,6.503070122E1,2.546989541E1,3.790118372E0,2.126358034E1,0.000000000E0,NaN,1.909129700E-1,3.368684387E1,3.709285355E1,9.000000000E0
5.026893069E0,6.503076134E1,2.547050524E1,1.139206764E1,2.886549985E1,0.000000000E0,NaN,1.946558669E-1,1.564605141E1,3.927542877E1,1.100000000E1
6.054275597E0,6.503078432E1,2.547044697E1,9.361536760E0,2.683498271E1,0.000000000E0,NaN,1.968133181E-1,1.927866554E1,4.393608093E1,1.400000000E1
7.079059167E0,6.503076762E1,2.547042355E1,8.545005750E0,2.601844739E1,0.000000000E0,NaN,2.034670206E-1,3.157625389E1,1.052236023E2,1.000000000E1
8.085650761E0,6.503073033E1,2.547031269E1,1.697288164E1,3.444631870E1,1.555423737E0,3.443018494E2,2.129578035E-1,2.518538666E1,6.215599823E1,1.700000000E1
9.088982793E0,6.503080391E1,2.547021020E1,2.284681530E1,4.032028911E1,2.285825253E0,3.396645203E2,2.215102858E-1,7.581930161E0,1.445336151E1,2.500000000E1
1.059229379E1,6.503085524E1,2.547007453E1,2.281868857E1,4.029219355E1,2.024400473E0,6.813809741E-3,2.246157896E-1,4.774168015E0,8.133022308E0,2.300000000E1
1.160031633E1,6.503087760E1,2.547003487E1,2.283251995E1,4.030603684E1,2.124428272E0,5.427272797E0,2.263228389E-1,4.095938683E0,6.937774658E0,2.600000000E1
1.251549462E1,6.503088313E1,2.547000094E1,2.233007367E1,3.980359559E1,2.183507681E0,1.453865147E1,2.269427037E-1,3.494630098E0,5.909159184E0,2.500000000E1
1.351552662E1,6.503088753E1,2.546999283E1,2.243561750E1,3.990914178E1,3.141753197E0,2.256557846E1,2.286620553E-1,3.227293968E0,5.200387478E0,2.400000000E1
1.451580162E1,6.503090203E1,2.547000556E1,2.111913271E1,3.859266140E1,2.899036169E0,3.405264664E1,2.298967419E-1,2.794234276E0,4.475450993E0,2.500000000E1
1.551543162E1,6.503090800E1,2.547002773E1,1.994308357E1,3.741661262E1,3.232931376E0,4.350872421E1,2.315699848E-1,2.545525074E0,3.966316223E0,2.600000000E1
1.651543762E1,6.503091549E1,2.547005865E1,1.837127949E1,3.584480871E1,3.355518103E0,5.012054443E1,2.339977037E-1,2.391730547E0,3.590398073E0,2.600000000E1
