"Time (s)","Illuminance (lx)"
0.000000000E0,3.301249981E0
7.004369510E-1,4.829999924E0
1.387885943E0,1.443375015E1
1.679523645E0,1.327624989E1
1.750299119E0,1.191499996E1
1.841990731E0,1.094624996E1
3.062678669E0,1.269250011E1
6.870664400E0,1.395749950E1
1.000489955E1,6.707499981E0
1.104656331E1,7.642499924E0
1.108821586E1,8.667499542E0
1.167954855E1,1.607999992E1
1.199610866E1,1.478874969E1
1.208359479E1,1.303499985E1
1.214613190E1,1.189999962E1
1.225025043E1,1.083125019E1
1.229186258E1,9.843750000E0
1.269596468E1,1.969999909E0
