"Time (s)","Illuminance (lx)"
0.000000000E0,5.628749847E0
9.452643400E-2,4.032499790E0
1.861915570E-1,4.711249828E0
1.885895945E0,7.648749828E0
2.198395383E0,6.946249962E0
2.260881021E0,6.420000076E0
2.323411662E0,5.887499809E0
2.927469783E0,4.096250057E0
3.419075386E0,4.621249676E0
4.493881768E0,3.404999971E0
4.627230771E0,3.924999952E0
9.519241107E0,4.581249714E0
1.552380925E1,5.118750095E0
1.617396275E1,6.287499905E0
1.629484219E1,5.764999866E0
1.753623768E1,4.591249943E0
1.775513784E1,5.188749790E0
