"Time (s)","Illuminance (lx)"
0.000000000E0,6.083499908E1
8.850516680E-1,6.610124969E1
1.697447481E0,8.957499695E1
7.234351509E0,4.010124969E1
7.513530837E0,4.787249756E1
7.542701371E0,5.291124725E1
7.571888018E0,5.871875000E1
7.592749306E0,6.562874603E1
7.613559689E0,7.194625092E1
7.634414833E0,7.796125031E1
8.334418472E0,1.100562439E2
8.546939555E0,1.015487442E2
8.617777570E0,9.281499481E1
8.667777367E0,8.578749847E1
9.617754238E0,9.761999512E1
1.066787385E1,7.179750061E1
1.096787842E1,7.837625122E1
1.102342159E1,8.838249969E1
1.327244814E1,4.684874725E1
